"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"008000","fBiz00000101200000000001","茨城県","水戸市","都路のたまご岩井GP工場","ミヤコジノタマゴイワイジーピーコウジョウ","㉓ 卵選別包装業","卵選別包装業","茨城県坂東市馬立1204-3","",36.067343,139.905960,"0297353144","有限会社　都路のたまご","3050002020609","茨城県坂東市馬立1204-3","","","","","","","届出","",""
"008000","fBiz00000101200000000003","茨城県","水戸市","都路のたまご直売所","ミヤコジノタマゴチョクバイジョ","⑬ その他の食料・飲料販売業","","茨城県坂東市神田山新田143","",36.056225,139.933746,"","有限会社　都路のたまご","3050002020609","茨城県坂東市馬立1204-3","","","","","","","届出","",""
"008000","fBiz00000103420000000002","茨城県","水戸市","フタムラ化学株式会社　茨城工場","フタムラカガクカブシキガイシャ　イバラキコウジョウ","㉗ 器具、容器包装の製造・加工業（合成樹脂が使用された器具又は容器包装の製造、加工に限る。）","","茨城県稲敷郡阿見町中央八丁目3番4号","",36.024329,140.222350,"0298872322","フタムラ化学株式会社","8180001032174","愛知県名古屋市中村区名駅２丁目２９番１６号","","","","","","","届出","",""
"008000","fBiz00000104570000000002","茨城県","水戸市","株式会社林産業　ひたちなか工場","ハヤシサンギョウ　ヒタチナカコウジョウ","㉗ 器具、容器包装の製造・加工業（合成樹脂が使用された器具又は容器包装の製造、加工に限る。）","","茨城県ひたちなか市山崎152","",36.381401,140.574353,"0292124310","株式会社林産業","3010601014163","東京都中央区日本橋富沢町10-16　MYARK日本橋ビル1F","","","","","","","届出","",""
"008000","fBiz00000107060000000001","茨城県","水戸市","","","⑦ 野菜果物販売業","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107420000000212","茨城県","水戸市","株式会社九州屋　アトレ取手店","カブシキガイシャキュウシュウヤ　アトレトリデテン","⑦ 野菜果物販売業","","茨城県取手市中央町2-5","アトレ取手店　１F",35.896763,140.063252,"0297-70-5011","株式会社九州屋","4010101000976","東京都八王子市越野24-1","","","","","","","届出","",""
"008000","fBiz00000107720000000009","茨城県","水戸市","わくわく広場イオンモール土浦店","ワクワクヒロバイオンモールツチウラテン","⑪ 百貨店、総合スーパー","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107720000000024","茨城県","水戸市","わくわく広場荒川本郷店","ワクワクヒロバアラカワホンゴウテン","⑥ 弁当販売業","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107720000000024","茨城県","水戸市","わくわく広場荒川本郷店","ワクワクヒロバアラカワホンゴウテン","⑦ 野菜果物販売業","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107720000000035","茨城県","水戸市","わくわく広場トナリエクレオつくば店","ワクワクヒロバトナリエクレオツクバテン","⑥ 弁当販売業","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107720000000035","茨城県","水戸市","わくわく広場トナリエクレオつくば店","ワクワクヒロバトナリエクレオツクバテン","⑦ 野菜果物販売業","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107720000000051","茨城県","水戸市","わくわく広場竜ケ崎サプラ店","ワクワクヒロバリュウガサキサプラテン","⑥ 弁当販売業","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107720000000051","茨城県","水戸市","わくわく広場竜ケ崎サプラ店","ワクワクヒロバリュウガサキサプラテン","⑦ 野菜果物販売業","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107720000000124","茨城県","水戸市","わくわく広場　あかやまJOY店","ワクワクヒロバ　アカヤマジョイテン","⑪ 百貨店、総合スーパー","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107720000000152","茨城県","水戸市","わくわく広場　つくば店","ワクワクヒロバ　ツクバテン","⑪ 百貨店、総合スーパー","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107720000000157","茨城県","水戸市","わくわく広場　守谷テラス店","ワクワクヒロバ　モリヤテラステン","⑪ 百貨店、総合スーパー","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000107780000000003","茨城県","水戸市","","","㉗ 器具、容器包装の製造・加工業（合成樹脂が使用された器具又は容器包装の製造、加工に限る。）","","","","","","","","","","","","","","","","届出","",""
"008000","fBiz00000108250000000002","茨城県","水戸市","昭和産業株式会社鹿島工場","ショウワサンギョウカブシキカイシャカシマコウジョウ","⑳ 精穀・製粉業","","茨城県神栖市東深芝6","",35.911951,140.666000,"0299921212","昭和産業株式会社","3010001008690","東京都千代田区内神田2丁目2-1鎌倉河岸ビル","","","","","","","届出","",""
