"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"001204","fBiz00000107660000000001","北海道","旭川市","旭川市愛育センター","アサヒカワシアイイクセンター","㉖ 集団給食施設","集団給食施設","北海道旭川市春光２条7丁目2-41","",43.799928,142.371786,"0166-51-3059","旭川市","9000020012041","北海道旭川市６条通９丁目","","","","","","","届出","",""
"001204","fBiz00000110900000000066","北海道","旭川市","北野エース　フィール旭川店","キタノエース　フィールアサヒカワテン","⑬ その他の食料・飲料販売業","","北海道旭川市１条通８丁目１０８","フィール旭川ＢＦ",43.765785,142.359803,"0166-74-8071","株式会社エース","9140001078096","兵庫県伊丹市中央四丁目6番24号","","","","","","","届出","",""
"001204","fBiz00000115920000000154","北海道","旭川市","カルディコーヒーファーム　イオンモール旭川西店","カルディコーヒーファーム　イオンモールアサヒカワニシテン","⑬ その他の食料・飲料販売業","食品販売","北海道旭川市緑町23-2161-3　","イオンモール旭川西 1F",43.793996,142.325864,"0166-59-7425","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"001204","fBiz00000120240000000001","北海道","旭川市","有限会社武田米穀店","ユウゲンガイシャタケダベイコクテン","⑧ 米穀類販売業","飲食料品小売業","北海道旭川市春光台２条３丁目７番３号","",43.817202,142.357747,"0166511745","有限会社武田米穀店","8450002003345","北海道旭川市春光台二条３丁目７番地の３","","","","","","","届出","",""
"001204","fBiz00000125900000000003","北海道","旭川市","有料老人ホーム花さとかⅡ","ユウリョウロウジンホームハナサトカツー","㉖ 集団給食施設","","北海道旭川市豊岡4条5丁目11番11号","",43.759337,142.406632,"0166-32-8100","株式会社花さとか","9450001010523","北海道旭川市東光八条６丁目１番１６号","","","","","","","届出","",""
"001204","fBiz00000125900000000005","北海道","旭川市","有料老人ホーム花さとかカトルセゾン","ユウリョウロウジンホームハナサトカカトルセゾン","㉖ 集団給食施設","","北海道旭川市東光９条５丁目４番１５号","",43.746509,142.406203,"0166-85-6010","株式会社花さとか","9450001010523","北海道旭川市東光八条６丁目１番１６号","","","","","","","届出","",""
"001204","fBiz00000125900000000006","北海道","旭川市","有料老人ホーム花さとか","ユウリョウロウジンホームハナサトカ","㉖ 集団給食施設","","北海道旭川市東光8条6丁目1番16号","",43.747756,142.407060,"0166-33-0500","株式会社花さとか","9450001010523","北海道旭川市東光八条６丁目１番１６号","","","","","","","届出","",""
"001204","fBiz00000126760000000003","北海道","旭川市","","","② 食肉販売業（包装済みの食肉のみの販売）","包装","","","","","","","","","","","","","","","届出","",""
"001204","fBiz00000127620000000032","北海道","旭川市","ヤクルト豊岡センター","トヨオカ","⑬ その他の食料・飲料販売業","","北海道旭川市豊岡５条1丁目4-16","",43.762997,142.391514,"0166-33-3866","株式会社ヤクルト北北海道","5450001000379","北海道旭川市花咲町7丁目2407番122","","","","","","","届出","",""
"001204","fBiz00000127620000000033","北海道","旭川市","ヤクルト東豊センター","トウホウ","⑬ その他の食料・飲料販売業","","北海道旭川市豊岡３条6丁目5-4","",43.758074,142.410214,"0166-32-8960","株式会社ヤクルト北北海道","5450001000379","北海道旭川市花咲町7丁目2407番122","","","","","","","届出","",""
"001204","fBiz00000127620000000034","北海道","旭川市","ヤクルト東光センター","トウコウ","⑬ その他の食料・飲料販売業","","北海道旭川市東光７条3丁目4-6","",43.749000,142.395668,"0166-32-7426","株式会社ヤクルト北北海道","5450001000379","北海道旭川市花咲町7丁目2407番122","","","","","","","届出","",""
"001204","fBiz00000127620000000035","北海道","旭川市","ヤクルト北門センター","ホクモン","⑬ その他の食料・飲料販売業","","北海道旭川市北門町15丁目2159-11","",43.792589,142.340893,"0166-51-7167","株式会社ヤクルト北北海道","5450001000379","北海道旭川市花咲町7丁目2407番122","","","","","","","届出","",""
