"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"013106","fBiz00000107420000000266","東京都","台東区","株式会社九州屋　松坂屋上野店","カブシキガイシャキュウシュウヤ　マツザカヤウエノテン","⑦ 野菜果物販売業","","東京都台東区上野3-29-5","松坂屋上野店　B１F",35.707479,139.773394,"03-5807-2831","株式会社九州屋","4010101000976","東京都八王子市越野24-1","","","","","","","届出","",""
"013106","fBiz00000108410000000640","東京都","台東区","ANYTIME FITNESS　浅草","エニタイムフィットネス　アサクサ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","東京都台東区浅草5-30-9 ","2F",35.720826,139.795815,"03-6802-3568","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013106","fBiz00000114570000000038","東京都","台東区","ローソンストア１００　西浅草店","ローソンストアヒャク　ニシアサクサテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都台東区西浅草三丁目21番1号","長縄ビル　1階",35.715558,139.790575,"0358300799","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013106","fBiz00000114570000000039","東京都","台東区","ローソンストア１００　台東浅草五丁目店","ローソンストアヒャク　タイトウアサクサゴチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都台東区浅草五丁目72番9号","カーサアカマ　1階",35.722581,139.798741,"0358080599","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013106","fBiz00000114570000000096","東京都","台東区","ローソンストア１００　台東清川一丁目店","ローソンストアヒャク　タイトウキヨカワイッチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都台東区清川一丁目6番3号","",35.723006,139.801714,"0358081603","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013106","fBiz00000114570000000097","東京都","台東区","ローソンストア１００　台東清川二丁目店","ローソンストアヒャク　タイトウキヨカワニチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都台東区清川二丁目3番5号","",35.726366,139.802022,"0358080799","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013106","fBiz00000114570000000098","東京都","台東区","ローソンストア１００　台東清川店","ローソンストアヒャク　タイトウキヨカワテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都台東区清川二丁目5番6号","光建ハイムブリリアンス浅草1階",35.726532,139.800878,"0338746833","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013106","fBiz00000114570000000099","東京都","台東区","ローソンストア１００　浅草寿店","ローソンストアヒャク　アサクサコトブキテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都台東区寿四丁目１３番１３号","",35.708773,139.793797,"0358308499","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013106","fBiz00000114570000000100","東京都","台東区","ローソンストア１００　浅草通り店","ローソンストアヒャク　アサクサドオリテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都台東区松が谷一丁目2番2号","七五ビル　1階",35.710713,139.787307,"0358302399","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013106","fBiz00000114570000000174","東京都","台東区","ローソンストア１００　台東寿三丁目店","ローソンストアヒャク　タイトウコトブキサンチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都台東区寿三丁目9番5号","蔵前ヨコヤマハイツ飯村ビル",35.707102,139.791189,"0338416684","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013106","fBiz00000114570000000227","東京都","台東区","ローソンストア１００　台東根岸三丁目店","ローソンストアヒャク　タイトウネギシサンチョウメテン","① 飲食店営業","コンビニエンスストア","東京都台東区根岸三丁目1番18号","鶯谷上原ビル1階",35.721537,139.781862,"0338713100","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","5令台台健生食ほ第957号",2023/10/27,2023/10/27,2023/10/27,2029/10/31,"","許可","",""
"013106","fBiz00000114570000000227","東京都","台東区","ローソンストア１００　台東根岸三丁目店","ローソンストアヒャク　タイトウネギシサンチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都台東区根岸三丁目1番18号","鶯谷上原ビル1階",35.721537,139.781862,"0338713100","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013106","fBiz00000115920000000439","東京都","台東区","カルディコーヒーファーム　上野店","カルディコーヒーファーム　ウエノテン","⑬ その他の食料・飲料販売業","小売業","東京都台東区上野七丁目1番1号","アトレ上野　Ｂ1Ｆ　",35.713612,139.777029,"03-5826-5804","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013106","fBiz00000115920000000497","東京都","台東区","カルディコーヒーファーム　パルコヤ上野店","カルディコーヒーファーム　パルコヤウエノテン","⑬ その他の食料・飲料販売業","小売業","東京都台東区上野3-24-6","パルコヤ 地下1階",35.706807,139.773115,"03-6803-0425","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013106","fBiz00000122220000000001","東京都","台東区","","","㉖ 集団給食施設","","","","","","","","","","","","","","","","届出","",""
