"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"013123","fBiz00000108410000000011","東京都","江戸川区","メガロス小岩","メガロスコイワ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","東京都江戸川区南小岩7-24-20","FIRSTA I 6.7.8F",35.732507,139.881645,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013123","fBiz00000112290000000001","東京都","江戸川区","たぐち珈琲豆店","タグチコーヒーマメテン","⑯ コーヒー製造・加工業（飲料の製造を除く。）","","東京都江戸川区上篠崎４－２９－１１","",35.708138,139.902726,"0336764919","ユーシーム株式会社","2011701016199","東京都江戸川区上篠崎４－２９－１１","","","","","","","届出","",""
"013123","fBiz00000114570000000085","東京都","江戸川区","ローソンストア１００南葛西三丁目店","ローソンストアヒャク　ミナミカサイサンチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都江戸川区南葛西三丁目9番14号","",35.652307,139.869217,"0356961351","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013123","fBiz00000114570000000086","東京都","江戸川区","ローソンストア１００　東瑞江店","ローソンストアヒャク　ヒガシミズエテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都江戸川区東瑞江一丁目22番10号","",35.690557,139.898616,"0356361899","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013123","fBiz00000114570000000087","東京都","江戸川区","ローソンストア１００　西一之江店","ローソンストアヒャク　ニシイチノエテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都江戸川区西一之江二丁目10番17号","",35.701127,139.878773,"0336549941","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013123","fBiz00000114570000000088","東京都","江戸川区","ローソンストア１００　葛西中央通店","ローソンストアヒャク　カサイチュウオウトオリテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都江戸川区西葛西七丁目29番14号","ロイヤルシラコ",35.659633,139.863690,"0356747199","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013123","fBiz00000114570000000089","東京都","江戸川区","ローソンストア１００　中葛西店","ローソンストアヒャク　ナカカサイテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都江戸川区中葛西二丁目2番3号","中島ビル1階",35.670029,139.872134,"0356670701","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013123","fBiz00000114570000000090","東京都","江戸川区","ローソンストア１００　北小岩六丁目店","ローソンストアヒャク　キタコイワロクチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都江戸川区北小岩六丁目18番3号","石井ガーデンビル",35.743293,139.884211,"0356121499","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013123","fBiz00000114570000000177","東京都","江戸川区","ローソンストア１００西小岩四丁目店","ローソンストアヒャクニシコイワヨンチョウメテン","① 飲食店営業","コンビニエンスストア","東京都江戸川区西小岩四丁目3番22号","",35.737300,139.880136,"0356221099","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","22江衛調第38号",2022/04/22,2022/04/22,2022/04/22,2029/04/30,"","許可","",""
"013123","fBiz00000114570000000178","東京都","江戸川区","ローソンストア１００西小岩四丁目店","ローソンストアヒャクニシコイワヨンチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都江戸川区西小岩四丁目3番22号","",35.737300,139.880136,"0336723278","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013123","fBiz00000115920000000016","東京都","江戸川区","カルディコーヒーファーム　西葛西店","カルディコーヒーファーム　ニシカサイテン","⑬ その他の食料・飲料販売業","食品販売","東京都江戸川区西葛西6-17-3"," マリンクス・ＮＳビル1F",35.663369,139.859482,"03-5696-9146","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013123","fBiz00000115920000000072","東京都","江戸川区","カルディコーヒーファーム　アリオ葛西店","カルディコーヒーファーム　アリオカサイテン","⑬ その他の食料・飲料販売業","食品販売","東京都江戸川区東葛西9-3-3  ","アリオ葛西１F　108区画",35.651931,139.883048,"03-5659-1071","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013123","fBiz00000116010000000003","東京都","江戸川区","東和食品工業株式会社","トウワショクヒンコウギョウカブシキガイシャ","⑰ 農産保存食料品製造・加工業","","東京都江戸川区春江町5丁目31番地２","",35.676538,139.872610,"0336806446","東和食品工業株式会社","9011701005716","東京都江戸川区春江町5丁目31番地２","","","","","","","届出","",""
"013123","fBiz00000116010000000003","東京都","江戸川区","東和食品工業株式会社","トウワショクヒンコウギョウカブシキガイシャ","⑳ 精穀・製粉業","","東京都江戸川区春江町5丁目31番地２","",35.676538,139.872610,"0336806446","東和食品工業株式会社","9011701005716","東京都江戸川区春江町5丁目31番地２","","","","","","","届出","",""
"013123","fBiz00000128310000000015","東京都","江戸川区","アスクル　北葛西センター","アスクル　キタカサイセンター","⑬ その他の食料・飲料販売業","","東京都江戸川区北葛西4-23-10","",35.670271,139.866323,"","アスクル株式会社","5010601030357","東京都江東区豊洲３丁目２番３号","","","","","","","届出","",""
"013123","fBiz00000129180000000202","東京都","江戸川区","ダイソー　平井店","ダイソー　ヒライテン","⑬ その他の食料・飲料販売業","小売業","東京都江戸川区平井４－８－６","シャトーマルイ１・２階",35.705491,139.844607,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013123","fBiz00000129180000001828","東京都","江戸川区","ダイソー　サニーモール西葛西店","ダイソー　サニーモールニシカサイテン","⑬ その他の食料・飲料販売業","","東京都江戸川区西葛西４－２－２８","サニーモール西葛西３階",35.668263,139.861764,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013123","fBiz00000835350000003427","東京都","江戸川区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013123","fBiz00000835350000003428","東京都","江戸川区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013123","fBiz00000129180000001831","東京都","江戸川区","ダイソー　ライフ瑞江店","ダイソー　ライフミズエテン","⑬ その他の食料・飲料販売業","","東京都江戸川区瑞江２－２－１","ライフ瑞江店３階",35.693284,139.897688,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013123","fBiz00000129180000001988","東京都","江戸川区","ダイソー　小岩駅南口店","ダイソー　コイワエキミナミグチテン","⑬ その他の食料・飲料販売業","","東京都江戸川区南小岩７－１８－９","１階",35.730989,139.881935,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
