"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"013122","fBiz00000108410000000325","東京都","葛飾区","ティップネス新小岩","ティップネスシンコイワ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","東京都葛飾区西新小岩１－２－１","",35.717079,139.857206,"03-5654-3531","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013122","fBiz00000108410000000325","東京都","葛飾区","ティップネス新小岩","ティップネスシンコイワ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都葛飾区西新小岩１－２－１","",35.717079,139.857206,"03-5654-3531","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013122","fBiz00000108410000000334","東京都","葛飾区","ルネサンス青砥","ルネサンスアオト","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","東京都葛飾区青戸6-2-1","",35.747796,139.857486,"03-5629-3923","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013122","fBiz00000108410000000334","東京都","葛飾区","ルネサンス青砥","ルネサンスアオト","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都葛飾区青戸6-2-1","",35.747796,139.857486,"03-5629-3923","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013122","fBiz00000110900000000075","東京都","葛飾区","北野エース　ビーンズ亀有店","キタノエース　ビーンズカメアリテン","⑬ その他の食料・飲料販売業","小売","東京都葛飾区亀有3丁目25-1","ビーンズ亀有1F",35.766723,139.847984,"","株式会社エース","9140001078096","兵庫県伊丹市中央四丁目6番24号","","","","","","","届出","",""
"013122","fBiz00000114570000000022","東京都","葛飾区","ローソンストア１００　葛飾東堀切二丁目店","ローソンストアヒャク　カツシカヒガシホリキリニチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都葛飾区東堀切二丁目10番4号","",35.753797,139.833893,"0356293399","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013122","fBiz00000114570000000057","東京都","葛飾区","ローソンストア１００　柴又駅前店","ローソンストアヒャク　シバマタエキマエテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都葛飾区柴又四丁目9番2号","",35.756549,139.875747,"0356121799","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013122","fBiz00000114570000000058","東京都","葛飾区","ローソンストア１００　立石六丁目店","ローソンストアヒャク　タテイシロクチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都葛飾区立石六丁目30番8号","サンリブ青戸1階",35.744157,139.853112,"0356721699","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013122","fBiz00000114570000000188","東京都","葛飾区","ローソンストア１００　葛飾青戸八丁目店","ローソンストアヒャク　カツシカアオトハッチョウメテン","① 飲食店営業","コンビニエンスストア","東京都葛飾区青戸八丁目３番８号","フォンテーヌ清水",35.756215,139.849540,"0356295699","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","4葛保生食令第00286号",2022/07/27,2022/07/27,2022/07/27,2029/07/31,"","許可","",""
"013122","fBiz00000114570000000188","東京都","葛飾区","ローソンストア１００　葛飾青戸八丁目店","ローソンストアヒャク　カツシカアオトハッチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都葛飾区青戸八丁目３番８号","フォンテーヌ清水",35.756215,139.849540,"0356295699","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
