"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"013119","fBiz00000108410000000156","東京都","板橋区","コナミスポーツクラブ 大山3階","コナミスポーツクラブオオヤマサンカイ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都板橋区大山町32番3号","佐竹ビル　３・４Ｆ",35.748969,139.701617,"03-5917-8001","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013119","fBiz00000108410000000603","東京都","板橋区","東急スポーツオアシス赤塚","トウキュウスポーツオアシスアカツカ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","東京都板橋区赤塚新町2-6-2","",35.771966,139.640028,"03-5967-0109","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013119","fBiz00000108410000000664","東京都","板橋区","フィットプレイス下赤塚","フィットプレイスシモアカツカ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都板橋区赤塚新町1-20-2 ","ドリーム赤塚 1階",35.769281,139.645667,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013119","fBiz00000108410000000815","東京都","板橋区","ホットヨガスタジオLAVA 高島平","ホットヨガスタジオラバタカシマダイラ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都板橋区高島平8-8-4","竹山マンション 1F",35.789038,139.663835,"03-5922-573","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013119","fBiz00000108410000000859","東京都","板橋区","ホットヨガスタジオLAVA志村坂上","ホットヨガスタジオラバシムラサカウエ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都板橋区小豆沢3-6-4　","糖加ビル3F",35.776730,139.695477,"03-5916-7261","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013119","fBiz00000114570000000054","東京都","板橋区","ローソンストア１００　板橋蓮沼町店","ローソンストアヒャク　イタバシハスヌマチョウテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都板橋区蓮沼町16番8号","",35.769069,139.704913,"0359146299","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013119","fBiz00000114570000000105","東京都","板橋区","ローソンストア１００　板橋西台三丁目店","ローソンストアヒャク　イタバシニシダイサンチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都板橋区西台三丁目26番10号","",35.776699,139.664879,"0339377848","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013119","fBiz00000114570000000106","東京都","板橋区","ローソンストア１００　板橋東山町店","ローソンストアヒャク　イタバシヒガシヤマチョウテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都板橋区東山町51番4号","サンシュウときわコーポ1F",35.755984,139.686311,"0359866199","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013119","fBiz00000114570000000107","東京都","板橋区","ローソンストア１００　板橋三丁目店","ローソンストアヒャク　イタバシサンチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都板橋区板橋三丁目35番12号","",35.752619,139.715904,"0359432199","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013119","fBiz00000114570000000218","東京都","板橋区","ローソンストア１００　板橋本町店","ローソンストアヒャク　イタバシホンチョウテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都板橋区本町２５番７号","",35.758736,139.708163,"0359433199","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013119","fBiz00000114570000000234","東京都","板橋区","ローソンストア１００　板橋赤塚新町店","ローソンストアヒャク　イタバシアカツカシンマチテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都板橋区赤塚新町三丁目１番７号","",35.770688,139.642320,"0359688499","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013119","fBiz00000115920000000401","東京都","板橋区","カルディコーヒーファーム　成増店","カルディコーヒーファーム　ナリマステン","⑬ その他の食料・飲料販売業","小売業","東京都板橋区成増二丁目17番15号","Landmark成増 1F",35.777548,139.630004,"03-5904-5860","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013119","fBiz00000115920000000403","東京都","板橋区","カルディコーヒーファーム　板橋区役所前店","カルディコーヒーファーム　イタバシクヤクショマエテン","⑬ その他の食料・飲料販売業","小売業","東京都板橋区仲宿60番13号 ","ブルックサイド1F",35.753368,139.709506,"03-3579-8658","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013119","fBiz00000119960000000016","東京都","板橋区","ライフパートナー板橋","ライフパートナーイタバシ","㉖ 集団給食施設","","東京都板橋区三園1-27-15","",35.788971,139.639114,"","株式会社エメラルドの郷","6120002067160","大阪府大阪市中央区南船場2-6-28ユタカビル3階","","","","","","","届出","",""
"013119","fBiz00000119960000000027","東京都","板橋区","ライフパートナー板橋","ライフパートナーイタバシ","㉖ 集団給食施設","","東京都板橋区三園1-27-15","",35.788971,139.639114,"","株式会社エメラルドの郷","6120002067160","大阪府大阪市中央区南船場2-6-28ユタカビル3階","","","","","","","届出","",""
"013119","fBiz00000129180000001750","東京都","板橋区","ダイソー　高島平とうきゅう店","ダイソー　タカシマダイラトウキュウテン","⑬ その他の食料・飲料販売業","","東京都板橋区高島平９－２３－１","高島平とうきゅう店内",35.790337,139.666511,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013119","fBiz00000129180000001752","東京都","板橋区","ダイソー　高島平店","ダイソータカシマダイラテン","⑬ その他の食料・飲料販売業","","東京都板橋区高島平７－２３－８","",35.791055,139.659245,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013119","fBiz00002806860000000003","東京都","板橋区","","","㉖ 集団給食施設","社会福祉施設　定員55名","","","","","","","","","","","","","","","届出","",""
"013119","fBiz00000129180000001841","東京都","板橋区","ダイソー　ダイエー西台店","ダイソー　ダイエーニシダイテン","⑬ その他の食料・飲料販売業","","東京都板橋区蓮根３－８－１２","ダイエー西台店２階",35.786403,139.674787,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013119","fBiz00000129180000001888","東京都","板橋区","ダイソー　成増２丁目店","ダイソー　ナリマスニチョウメテン","⑬ その他の食料・飲料販売業","","東京都板橋区成増２－２６","",35.778214,139.629429,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013119","fBiz00000129180000001947","東京都","板橋区","ダイソー　ベルクスモール浮間舟渡店","ダイソー　ベルクスモールウキマフナドテン","⑬ その他の食料・飲料販売業","","東京都板橋区舟渡１丁目６番２２号","ベルクスモール浮間舟渡２階",35.791863,139.687090,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013119","fBiz00000129180000002059","東京都","板橋区","ダイソー　ヒューリック志村坂上店","ダイソー　ヒューリックシムラサカウエテン","⑬ その他の食料・飲料販売業","小売業","東京都板橋区前野町３－２０－１","ヒューリック志村坂上３階",35.768725,139.689940,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013119","fBiz00000132650000000001","東京都","板橋区","にじいろ保育園徳丸","ニジイロホイクエントクマル","㉖ 集団給食施設","認可保育園施設","東京都板橋区徳丸3-38-19","",35.775556,139.658706,"03-6915-7145","ライクキッズ株式会社","7021001004691","東京都渋谷区道玄坂一丁目12番1号　渋谷マークシティウェスト","","","","","","","届出","",""
"013119","fBiz00000132650000000006","東京都","板橋区","にじいろ保育園上板橋","ニジイロホイクエンカミイタバシ","㉖ 集団給食施設","認可保育園施設","東京都板橋区上板橋2丁目2番15号","",35.762085,139.674288,"03-6281-0075","ライクキッズ株式会社","7021001004691","東京都渋谷区道玄坂一丁目12番1号　渋谷マークシティウェスト","","","","","","","届出","",""
"013119","fBiz00000132650000000007","東京都","板橋区","にじいろ保育園中板橋","ニジイロホイクエンナカイタバシ","㉖ 集団給食施設","認可保育園施設","東京都板橋区中板橋9－1","",35.755323,139.699458,"03-6905-6447","ライクキッズ株式会社","7021001004691","東京都渋谷区道玄坂一丁目12番1号　渋谷マークシティウェスト","","","","","","","届出","",""
"013119","fBiz00000132650000000008","東京都","板橋区","にじいろ保育園板橋二丁目","ニジイロホイクエンイタバシニチョウメ","㉖ 集団給食施設","認可保育園施設","東京都板橋区板橋二丁目29番3号","",35.747791,139.711544,"03-6912-4912","ライクキッズ株式会社","7021001004691","東京都渋谷区道玄坂一丁目12番1号　渋谷マークシティウェスト","","","","","","","届出","",""
"013119","fBiz00000132650000000009","東京都","板橋区","にじいろ保育園板橋一丁目","ニジイロホイクエンイタバシイッチョウメ","㉖ 集団給食施設","認可保育園施設","東京都板橋区板橋一丁目31番9号","",35.747595,139.716269,"03-5944-1773","ライクキッズ株式会社","7021001004691","東京都渋谷区道玄坂一丁目12番1号　渋谷マークシティウェスト","","","","","","","届出","",""
"013119","fBiz00000132650000000010","東京都","板橋区","にじいろ保育園小茂根","ニジイロホイクエンコモネ","㉖ 集団給食施設","認可保育園施設","東京都板橋区小茂根1丁目27番14号","",35.746205,139.677534,"03-6909-4147","ライクキッズ株式会社","7021001004691","東京都渋谷区道玄坂一丁目12番1号　渋谷マークシティウェスト","","","","","","","届出","",""
"013119","fBiz00000132650000000011","東京都","板橋区","にじいろ保育園蓮根","ニジイロホイクエンハスネ","㉖ 集団給食施設","認可保育園施設","東京都板橋区蓮根二丁目19番3号","",35.782486,139.678604,"03-5918-8831","ライクキッズ株式会社","7021001004691","東京都渋谷区道玄坂一丁目12番1号　渋谷マークシティウェスト","","","","","","","届出","",""
"013119","fBiz00000132650000000012","東京都","板橋区","にじいろ保育園坂下二丁目","ニジイロホイクエンサカシタニチョウメ","㉖ 集団給食施設","認可保育園施設","東京都板橋区坂下二丁目32番22号","",35.784867,139.681563,"03-5948-7971","ライクキッズ株式会社","7021001004691","東京都渋谷区道玄坂一丁目12番1号　渋谷マークシティウェスト","","","","","","","届出","",""
