"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"023211","fBiz00000103910000000065","愛知県","豊田市","Ｖ・drug　豊田寿店","ブイ・ドラッグ　トヨタコトブキテン","⑬ その他の食料・飲料販売業","ドラッグストア","愛知県豊田市寿町2丁目5","",35.056853,137.138553,"0565-41-5230","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"023211","fBiz00000103910000000196","愛知県","豊田市","Ｖ・drug　大林店","ブイ・ドラッグ　テン","⑬ その他の食料・飲料販売業","ドラッグストア","愛知県豊田市大林町17丁目3番1","",35.047054,137.148522,"0565-25-1551","中部薬品株式会社","4200001020808","岐阜県多治見市高根町四丁目29番地","","","","","","","届出","",""
"023211","fBiz00000108410000000355","愛知県","豊田市","ワークアウトジムエグゼノ豊田","ワークアウトジムエグゼノトヨタ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","愛知県豊田市陣中町1丁目26-8","",35.093290,137.162564,"0565-85-0570","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"023211","fBiz00000113080000000010","愛知県","豊田市","","","⑪ 百貨店、総合スーパー","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000113080000000069","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","純水機による水の販売","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000115920000000342","愛知県","豊田市","カルディコーヒーファーム　メグリア本店","カルディコーヒーファーム　メグリアホンテン","⑬ その他の食料・飲料販売業","食品販売","愛知県豊田市山之手8丁目92番地　","メグリア本店",35.052534,137.145136,"0565-74-1638","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"023211","fBiz00000126360000000046","愛知県","豊田市","薬マツモトキヨシ豊田T-FACE店","クスリマツモトキヨシトヨタティーフェーステン","⑪ 百貨店、総合スーパー","ドラッグストア","愛知県豊田市若宮町一丁目５７番地１","B館T-FACE１階",35.087478,137.154708,"","株式会社マツモトキヨシ","1040001036939","千葉県松戸市新松戸東9番地１","","","","","","","届出","",""
"023211","fBiz00000126420000000048","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000126420000000049","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000126420000000055","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000129180000001287","愛知県","豊田市","ダイソー　豊田２４８店","ダイソー　トヨタニーヨンパーテン","⑬ その他の食料・飲料販売業","","愛知県豊田市元宮町１丁目１１","",35.074633,137.160664,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"023211","fBiz00000129180000001314","愛知県","豊田市","ダイソー　豊田浄水店","ダイソー　トヨタジョウスイテン","⑬ その他の食料・飲料販売業","","愛知県豊田市浄水町伊保原２０２－１","",35.125484,137.131758,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"023211","fBiz00000129180000001319","愛知県","豊田市","ダイソー　トヨタ生協藤岡店","ダイソー　トヨタフセイキョウジオカテン","⑬ その他の食料・飲料販売業","","愛知県豊田市西中山町道貝１０１","",35.151538,137.180666,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"023211","fBiz00000129180000001345","愛知県","豊田市","ダイソー　豊田永覚店","ダイソー　トヨタエカクテンテン","⑬ その他の食料・飲料販売業","","愛知県豊田市永覚新町２丁目２５","",35.035510,137.138420,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"023211","fBiz00000130720000000350","愛知県","豊田市","コーナン豊田T-FACE店","コーナントヨタティーフェイステン","⑪ 百貨店、総合スーパー","販売業","愛知県豊田市若宮町1-57-1　豊田T-FACE　A館　5F","",35.087551,137.155137,"0565-36-5705","","","大阪府堺市西区鳳東町4丁401番地1","","","","","","","届出","",""
"023211","fBiz00000139600000000003","愛知県","豊田市","","","⑰ 農産保存食料品製造・加工業","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000139790000000001","愛知県","豊田市","ジョイフル豊田梅坪店","ジョイフルトヨタウメツボテン","② 食肉販売業（包装済みの食肉のみの販売）","","愛知県豊田市京町3丁目17番1","",35.109140,137.167592,"0565-36-5251","株式会社ジョイフル東海","2320001014535","大分県大分市三川新町1丁目1番45号","","","","","","","届出","",""
"023211","fBiz00000139790000000002","愛知県","豊田市","ジョイフル豊田福受店","ジョイフルトヨタフクジュテン","② 食肉販売業（包装済みの食肉のみの販売）","","愛知県豊田市福受町下ノ切111-1","",34.994187,137.119294,"0565-21-6711","株式会社ジョイフル東海","2320001014535","大分県大分市三川新町1丁目1番45号","","","","","","","届出","",""
"023211","fBiz00000139790000000003","愛知県","豊田市","ジョイフル豊田貞宝店","ジョイフルトヨタテイホウテン","② 食肉販売業（包装済みの食肉のみの販売）","","愛知県豊田市逢妻町2-10-3","",35.107091,137.140156,"0565-36-1151","株式会社ジョイフル東海","2320001014535","大分県大分市三川新町1丁目1番45号","","","","","","","届出","",""
"023211","fBiz00000139790000000006","愛知県","豊田市","ジョイフル豊田インター店","ジョイフルトヨタインターテン","② 食肉販売業（包装済みの食肉のみの販売）","","愛知県豊田市田中町4-1-9","",35.066383,137.115023,"0565-25-5758","株式会社ジョイフル東海","2320001014535","大分県大分市三川新町1丁目1番45号","","","","","","","届出","",""
"023211","fBiz00000139790000000017","愛知県","豊田市","ジョイフル豊田高岡店","ジョイフルトヨタタカオカテン","② 食肉販売業（包装済みの食肉のみの販売）","","愛知県豊田市大島町旭195","",35.042336,137.066337,"0565-51-2822","株式会社ジョイフル東海","2320001014535","大分県大分市三川新町1丁目1番45号","","","","","","","届出","",""
"023211","fBiz00000139870000000044","愛知県","豊田市","株式会社ドクターズ・マン","カブシキガイシャドクターズマン","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","愛知県豊田市小坂町14丁目2-1快活CLUB　FiT24　豊田小坂店","",35.083000,137.143127,"","株式会社ドクターズ・マン","5010401058417","神奈川県横浜市青葉区美しが丘2-14-5","","","","","","","届出","",""
"023211","fBiz00000146310000001400","愛知県","豊田市","スターバックスコーヒーアピタ豊田元町店","スターバックスコーヒーアピタトヨタモトマチテン","⑬ その他の食料・飲料販売業","喫茶店","愛知県豊田市土橋町1-21","アピタ豊田元町",35.062966,137.129776,"0565-25-2701","スターバックスコーヒージャパン株式会社","7011001031943","東京都品川区上大崎2-25-2","","","","","","","届出","",""
"023211","fBiz00000146310000001418","愛知県","豊田市","スターバックスコーヒー豊田上原店","スターバックスコーヒートヨタウワハラテン","⑬ その他の食料・飲料販売業","喫茶店","愛知県豊田市上原町一丁田74-1","",35.117478,137.167383,"0565-44-8534","スターバックスコーヒージャパン株式会社","7011001031943","東京都品川区上大崎2-25-2","","","","","","","届出","",""
"023211","fBiz00000146310000001430","愛知県","豊田市","スターバックスコーヒー豊田住吉店","スターバックスコーヒートヨタスミヨシテン","⑬ その他の食料・飲料販売業","喫茶店","愛知県豊田市住吉町平和27-1","",35.036287,137.122851,"0565-41-5310","スターバックスコーヒージャパン株式会社","7011001031943","東京都品川区上大崎2-25-2","","","","","","","届出","",""
"023211","fBiz00000146310000001521","愛知県","豊田市","スターバックスコーヒー豊田鞍ケ池公園店","スターバックスコーヒートヨタクラガイケコウエンテン","⑬ その他の食料・飲料販売業","喫茶店","愛知県豊田市池田町五反田566-1","鞍ケ池公園",35.163288,137.392689,"0565-41-3086","スターバックスコーヒージャパン株式会社","7011001031943","東京都品川区上大崎2-25-2","","","","","","","届出","",""
"023211","fBiz00000146310000001635","愛知県","豊田市","スターバックスコーヒー豊田T-FACE店","スターバックスコーヒートヨタティーフェイスステン","⑬ その他の食料・飲料販売業","喫茶店","愛知県豊田市西町6丁目85-1","豊田T-FACE　A館2階",35.086769,137.155029,"0565-85-1002","スターバックスコーヒージャパン株式会社","7011001031943","東京都品川区上大崎2-25-2","","","","","","","届出","",""
"023211","fBiz00000146520000000154","愛知県","豊田市","アミカ豊田店","アミカトヨタテン","⑪ 百貨店、総合スーパー","スーパー","愛知県豊田市寿町7-95-1","",35.056125,137.133699,"0565-74-2333","株式会社大光","6200001013834","岐阜県大垣市浅草二丁目66番地","","","","","","","届出","",""
"023211","fBiz00000147970000000005","愛知県","豊田市","","","③ 乳類販売業","乳類自動販売機","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000013","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000014","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000015","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000016","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000017","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000018","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000019","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000021","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000022","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000023","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000024","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
"023211","fBiz00000147970000000025","愛知県","豊田市","","","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","","","","","","","","","","","","","","","届出","",""
