"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"013111","fBiz00000102120000000001","東京都","大田区","株式会社マルサヤ","カブシキガイシャマルサヤ","⑬ その他の食料・飲料販売業","乾物卸売業","東京都大田区大森南1-9-7","",35.565417,139.740235,"0337422266","株式会社マルサヤ","2010001173783","","","","","","","","届出","",""
"013111","fBiz00000107420000000194","東京都","大田区","株式会社九州屋　大田事務所","カブシキガイシャキュウシュウヤ　オオタジムショ","⑦ 野菜果物販売業","","東京都大田区東海3-2-6","青果棟2階",35.580988,139.760011,"03-5492-8097","株式会社九州屋","4010101000976","東京都八王子市越野24-1","","","","","","","届出","",""
"013111","fBiz00000107420000000201","東京都","大田区","株式会社九州屋　蒲田東急プラザ店","カブシキガイシャキュウシュウヤ　カマタトウキュウプラザテン","⑦ 野菜果物販売業","","東京都大田区西蒲田7-69-1","東急ストア蒲田プラザ店　B１F",35.561984,139.714389,"03-3730-5630","株式会社九州屋","4010101000976","東京都八王子市越野24-1","","","","","","","届出","",""
"013111","fBiz00000110900000000009","東京都","大田区","北野エース　グランデュオ蒲田西館店","キタノエース　グランデュオカマタニシカンテン","⑬ その他の食料・飲料販売業","","東京都大田区西蒲田七丁目68番1号","グランデュオ蒲田店西館地下1階",35.562486,139.716189,"03-5713-6152","株式会社エース","9140001078096","兵庫県伊丹市中央四丁目6番24号","","","","","","","届出","",""
"013111","fBiz00000111590000000002","東京都","大田区","株式会社ベジテック大田","カブシキガイシャベジテックオオタ","⑦ 野菜果物販売業","仲卸","東京都大田区東海3-2-6","",35.580988,139.760011,"03-5492-2666","株式会社ベジテック大田","1010801010773","東京都大田区東海3-2-6","","","","","","","届出","",""
"013111","fBiz00000112810000000001","東京都","大田区","","","⑯ コーヒー製造・加工業（飲料の製造を除く。）","","","","","","","","","","","","","","","","届出","",""
"013111","fBiz00000114570000000066","東京都","大田区","ローソンストア１００　梅屋敷店","ローソンストアヒャク　ウメヤシキテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都大田区蒲田二丁目4番5号","",35.567874,139.724767,"0357137299","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013111","fBiz00000114570000000187","東京都","大田区","ローソンストア１００　雑色店","ローソンストアヒャク　ゾウシキテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都大田区仲六郷二丁目２８番１号","",35.550459,139.714299,"0357138899","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013111","fBiz00000115920000000435","東京都","大田区","カルディコーヒーファーム　大岡山店","カルディコーヒーファーム　オオオカヤマテン","⑬ その他の食料・飲料販売業","食品販売","東京都大田区北千束1-51-6　","サンルミナス１Ｆ",35.608329,139.685229,"03-3725-1631","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013111","fBiz00000115920000000438","東京都","大田区","カルディコーヒーファーム　糀谷店","カルディコーヒーファーム　コウジヤテン","⑬ その他の食料・飲料販売業","食品販売","東京都大田区西糀谷4-13-19","",35.554381,139.729985,"03-5735-4330","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
