"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"013116","fBiz00000103020000000008","東京都","豊島区","タイストリートフード　池袋西口店","タイストリートフード　イケブクロニシグチテン","① 飲食店営業","タイ料理店","東京都豊島区西池袋一丁目1番25号","イケチカダイニングB1F（103区画）",35.729853,139.710597,"03-6914-2212","株式会社ＳＵＵ・ＳＵＵ・ＣＨＡＩＹＯＯ","4013201014111","東京都大田区大森北１丁目８番２号","5豊池衛食ほ第200号",2023/05/25,2023/05/25,2023/05/25,2030/05/31,"","許可","",""
"013116","fBiz00000103020000000009","東京都","豊島区","タイストリートフード　池袋西口店","タイストリートフード　イケブクロニシグチテン","⑬ その他の食料・飲料販売業","タイ料理店","東京都豊島区西池袋一丁目１番２５号","イケチカDining B1F（103区画）",35.729853,139.710597,"03-6914-2212","株式会社ＳＵＵ・ＳＵＵ・ＣＨＡＩＹＯＯ","4013201014111","東京都大田区大森北１丁目８番２号","","","","","","","届出","",""
"013116","fBiz00000107420000000188","東京都","豊島区","株式会社九州屋　東武池袋本店","カブシキガイシャキュウシュウヤ　トウブイケブクロホンテン","⑦ 野菜果物販売業","","東京都豊島区西池袋1-1-25","東武百貨店池袋本店　プラザ館B2F",35.730045,139.710444,"03-5911-7011","株式会社九州屋","4010101000976","東京都八王子市越野24-1","","","","","","","届出","",""
"013116","fBiz00000108410000000017","東京都","豊島区","ファストジム24要町店","ファストジムトゥエンティフォーカナメチョウ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","東京都豊島区要町1-11-1","センチュリービル2階",35.733452,139.699025,"03-5964-5530","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013116","fBiz00000108410000000185","東京都","豊島区","ジェクサー・フィットネス＆スパ 大塚","ジェクサーフィットネスアンドスパオオツカ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都豊島区南大塚3-33-1","JR大塚南口ビル6F",35.731256,139.729268,"03-5928-0491","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013116","fBiz00000108410000000186","東京都","豊島区","Surf Fit Studio池袋店","サーフフィットスタジオイケブクロ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都豊島区南池袋1-23-6","KDG池袋ビル９階",35.729060,139.712718,"050-3646-5715","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013116","fBiz00000108410000000187","東京都","豊島区","ホットヨガスタジオロイブ池袋","ホットヨガスタジオロイブイケブクロ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都豊島区南池袋1-26-9","第2MYTビル7階",35.729015,139.713491,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013116","fBiz00000108410000000188","東京都","豊島区","ティップクロスTOKYO池袋","ティップクロストウキョウイケブクロ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都豊島区西池袋1-3-1","東武百貨店パーキング2　2～5F",35.728120,139.709532,"03-5992-2255","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013116","fBiz00000108410000000189","東京都","豊島区","FASTGYM24　要町","ファストジムトゥエンティフォー　カナメチョウ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都豊島区要町1-11-1","センチュリービル2階",35.733452,139.699025,"03-5964-5530","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013116","fBiz00000108410000000190","東京都","豊島区","コナミスポーツクラブ池袋","コナミスポーツクラブイケブクロ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都豊島区東池袋3-1-4","サンシャインシティ文化会館５Ｆ",35.729959,139.719860,"03-5956-7744","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
