"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"013114","fBiz00000721180000000059","東京都","中野区","ちよだ鮨　野方店","チヨダズシ　ノガタテン","⑬ その他の食料・飲料販売業","持ち帰りすし","東京都中野区野方5-25-3","",35.718722,139.653150,"03-5373-0789","株式会社ちよだ鮨","4010001063000","東京都中央区明石町8番1号　","","","","","","","届出","",""
"013114","fBiz00000721180000000060","東京都","中野区","ちよだ鮨　ユニゾンモール東中野店","チヨダズシ　ユニゾンモールヒガシナカノテン","⑬ その他の食料・飲料販売業","持ち帰りすし","東京都中野区東中野5-1-1","ユニゾンモール東中野1F",35.706673,139.687288,"03-5348-1028","株式会社ちよだ鮨","4010001063000","東京都中央区明石町8番1号　","","","","","","","届出","",""
"013114","fBiz00000721270000000010","東京都","中野区","太子堂中野店","タイシドウナカノテン","⑬ その他の食料・飲料販売業","菓子小売店","東京都中野区中野3-34-28","中野マルイ内",35.704700,139.665041,"03-5340-7909","株式会社太子堂","1010901018048","東京都千代田区神田須田町２丁目４番地","","","","","","","届出","",""
"013114","fBiz00000721270000000023","東京都","中野区","ベジタブルやすお","ベジタブヤスオ","⑬ その他の食料・飲料販売業","八百屋","東京都中野区鷺宮４－４４－１０","ララポートさぎのみや",35.726066,139.638374,"0353566210","株式会社太子堂","1010901018048","東京都千代田区神田須田町２丁目４番地","","","","","","","届出","",""
"013114","fBiz00000729590000000064","東京都","中野区","","","⑬ その他の食料・飲料販売業","","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000774220000000010","東京都","中野区","いっちゃらごはん","イッチャラゴハン","⑥ 弁当販売業","弁当販売業","東京都中野区中央一丁目32-1","マンション前",35.697896,139.684704,"","市原こい子","","","","","","","","","届出","",""
"013114","fBiz00000774550000000153","東京都","中野区","","","㉖ 集団給食施設","","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000775740000000045","東京都","中野区","","","③ 乳類販売業","自動販売機","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000775740000000227","東京都","中野区","","","③ 乳類販売業","自動販売機","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000778970000000005","東京都","中野区","帝京平成大学中野キャンパス　売店","テイキョウヘイセイダイガクナカノキャンパス　バイテン","⑬ その他の食料・飲料販売業","","東京都中野区中野4丁目21番2号","帝京平成大学　中野キャンパス　1階",35.707524,139.658395,"03-3228-0880","株式会社アイビー・シー・エス","9011001012140","東京都渋谷区渋谷4-4-25","","","","","","","届出","",""
"013114","fBiz00000792600000000061","東京都","中野区","さくらさくみらい　中野","サクラサクミライ　ナカノ","㉖ 集団給食施設","認可保育園","","","","","","株式会社さくらさくみらい","1010001137137","東京都千代田区有楽町一丁目2番2号　東宝日比谷ビル","","","","","","","届出","",""
"013114","fBiz00000792600000000062","東京都","中野区","さくらさくみらい　江原町","サクラサクミライ　エハラチョウ","㉖ 集団給食施設","認可保育園","","","","","","株式会社さくらさくみらい","1010001137137","東京都千代田区有楽町一丁目2番2号　東宝日比谷ビル","","","","","","","届出","",""
"013114","fBiz00000792600000000063","東京都","中野区","さくらさくみらい　弥生町","サクラサクミライ　ヤヨイチョウ","㉖ 集団給食施設","認可保育園","","","","","","株式会社さくらさくみらい","1010001137137","東京都千代田区有楽町一丁目2番2号　東宝日比谷ビル","","","","","","","届出","",""
"013114","fBiz00000835350000002350","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002351","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002352","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002353","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002354","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002355","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002356","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002357","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002358","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002359","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002360","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002361","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002362","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002363","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002364","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002365","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002366","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002367","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
"013114","fBiz00000835350000002368","東京都","中野区","","","⑬ その他の食料・飲料販売業","小売業（無人販売用冷凍庫）","","","","","","","","","","","","","","","届出","",""
