"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"013120","fBiz00000108410000000035","東京都","練馬区","メディカル・フィット24","メディカルフィットトゥエンティフォー","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","東京都練馬区田柄2-48-10　2F","",35.770445,139.642741,"03-6909-9845","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013120","fBiz00000108410000000205","東京都","練馬区","FASTGYM24 上石神井","ファストジムトゥエンティフォー　カミシャクジイ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都練馬区上石神井1-6-12 ","吉田ビル 1階",35.725093,139.591899,"03-5927-5039","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013120","fBiz00000108410000000331","東京都","練馬区","ルネサンス富士見台","ルネサンスフジミダイ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","東京都練馬区貫井３－１２－３３","",35.736111,139.627716,"03-5987-2433","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013120","fBiz00000108410000000333","東京都","練馬区","ルネサンス光が丘","ルネサンスヒカリガオカ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","東京都練馬区高松５－８","Ｊ．ＣＩＴＹビル１Ｆ",35.755873,139.621063,"03-5372-4400","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013120","fBiz00000108410000000398","東京都","練馬区","ティップネス東武練馬","ティップネストウブネリマ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","東京都練馬区北町２－２２－１７","",35.767475,139.661531,"03-3559-3711","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013120","fBiz00000108410000000760","東京都","練馬区","ホットヨガスタジオLAVA大泉学園","ホットヨガスタジオラバオオイズミガクエン","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都練馬区東大泉4-26-18　","サンパレス大泉2F",35.751467,139.585579,"03-5947-6252","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013120","fBiz00000108410000000816","東京都","練馬区","ホットヨガスタジオLAVA 東武練馬","ホットヨガスタジオラバトウブネリマ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都練馬区北町2-38-15","大宏第1ビル2F",35.768322,139.661989,"03-5921-3072","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013120","fBiz00000108410000000831","東京都","練馬区","ホットヨガスタジオLAVA練馬","ホットヨガスタジオラバネリマ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","東京都練馬区練馬1-5-3　","あづまやビル5・6･7F",35.737360,139.653493,"03-5912-2162","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"013120","fBiz00000114570000000111","東京都","練馬区","ローソンストア１００　上石神井店","ローソンストアヒャク　カミシャクジイテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都練馬区上石神井二丁目37番32号","",35.729637,139.593472,"0335943488","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013120","fBiz00000114570000000237","東京都","練馬区","ローソンストア１００　練馬南大泉五丁目店","ローソンストアヒャク　ネリマミナミオオイズミゴチョウメテン","① 飲食店営業","コンビニエンスストア","東京都練馬区南大泉五丁目20番1号","",35.749438,139.574572,"0339257911","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","５練健生石食第20566号",2024/03/27,2024/03/27,2024/03/27,2030/03/31,"","許可","",""
"013120","fBiz00000114570000000237","東京都","練馬区","ローソンストア１００　練馬南大泉五丁目店","ローソンストアヒャク　ネリマミナミオオイズミゴチョウメテン","⑩ コンビニエンスストア","コンビニエンスストア","東京都練馬区南大泉五丁目20番1号","",35.749438,139.574572,"0339257911","株式会社ローソンストア１００","1010701028684","神奈川県川崎市幸区大宮町1310番","","","","","","","届出","",""
"013120","fBiz00000115920000000396","東京都","練馬区","カルディコーヒーファーム　光が丘IMA店","カルディコーヒーファーム　ヒカリガオカイマテン","⑬ その他の食料・飲料販売業","小売業","東京都練馬区光が丘五丁目1番1号","ＩＭＡ専門店街",35.758944,139.628812,"03-3939-7521","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013120","fBiz00000115920000000397","東京都","練馬区","カルディコーヒーファーム　石神井公園店","カルディコーヒーファーム　シャクジイコウエンテン","⑬ その他の食料・飲料販売業","小売業","東京都練馬区石神井町三丁目19番","MSP②ビル1階",35.742363,139.605847,"03-3997-0079","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013120","fBiz00000115920000000400","東京都","練馬区","カルディコーヒーファーム　ココネリ練馬北口店","カルディコーヒーファーム　ココネリネリマキタグチテン","⑬ その他の食料・飲料販売業","小売業","東京都練馬区練馬一丁目17番1号","Coconeri　2F",35.738230,139.653358,"03-5999-5505","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013120","fBiz00000115920000000517","東京都","練馬区","カルディコーヒーファーム　グランエミオ大泉学園店","カルディコーヒーファーム　グランエミオオオイズミガクエンテン","⑬ その他の食料・飲料販売業","小売業","東京都練馬区東大泉1-28-1　","グランエミオ大泉学園 2F",35.749522,139.586943,"03-6904-4225","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"013120","fBiz00000118550000000005","東京都","練馬区","","","㉖ 集団給食施設","保育園","","","","","","","","","","","","","","","届出","",""
"013120","fBiz00000118550000000007","東京都","練馬区","","","㉖ 集団給食施設","","","","","","","","","","","","","","","","届出","",""
"013120","fBiz00000118550000000008","東京都","練馬区","","","㉖ 集団給食施設","","","","","","","","","","","","","","","","届出","",""
"013120","fBiz00002512960000000005","東京都","練馬区","curious+","キュリアスプラス","⑬ その他の食料・飲料販売業","小売業","東京都練馬区石神井台3-20-9","メゾン・ド・クレイン103 R-space",35.742212,139.591509,"","","","","","","","","","","届出","",""
"013120","fBiz00000129180000000413","東京都","練馬区","ダイソー　光が丘ＩＭＡ店","ダイソー　ヒカリガオカイマテン","⑬ その他の食料・飲料販売業","小売業","東京都練馬区光が丘３丁目９番２号","光が丘ＩＭＡ南館内１階・２階",35.758008,139.627306,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013120","fBiz00000129180000001917","東京都","練馬区","ダイソー　練馬土支田店","ダイソー　ネリマドシダテン","⑬ その他の食料・飲料販売業","","東京都練馬区土支田４丁目９－５","",35.765488,139.613256,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
"013120","fBiz00000129180000002192","東京都","練馬区","ダイソー　練馬中村店","ダイソー　ネリマナカムラテン","⑬ その他の食料・飲料販売業","小売業","東京都練馬区中村南３－１６－１０","　２階",35.728426,139.639577,"","株式会社大創産業","7240001022681","広島県東広島市西条吉行東一丁目４番１４号","","","","","","","届出","",""
